n,time,inaccuracy
1,15086,59
2,15121,79
3,12707,166
4,14638,495
5,15054,471
6,14433,149
7,14788,418
8,14727,323
9,14778,249
10,14630,296
20,14643,329
30,14538,328
40,14651,243
50,14628,298
100,14720,377
