n,time,inaccuracy
1,22676,439
2,13679,304
3,11267,719
4,9708,327
5,9969,386
6,9535,323
7,9500,317
8,9482,394
9,9594,432
10,9572,356
20,9413,348
30,9258,396
40,9072,378
50,8937,373
100,8843,328
